Event ID;substation ID;Event start;Event end;Training start;Training end
43;24;2020-02-20;2020-02-27;2019-10-16 08:40:00.310497;2020-02-20
44;53;2019-12-13;2019-12-20;2019-09-05 12:30:00.164418;2019-12-13
45;53;2020-02-18;2020-02-25;2019-09-05 12:30:00.164418;2020-02-18
46;8;2020-01-11;2020-01-18;2019-10-19 00:00:00.000000;2020-01-11
47;35;2019-12-28;2020-01-04;2019-10-15 00:00:00.000000;2019-12-28
48;59;2020-03-07;2020-03-14;2019-12-04 12:00:00.356912;2020-03-07
49;43;2020-03-14;2020-03-21;2019-11-27 14:20:00.264168;2020-03-14
50;11;2020-03-06;2020-03-13;2019-09-17 00:00:00.000000;2020-03-06
51;26;2020-03-03;2020-03-09;2019-08-27 12:50:00.163741;2020-03-03
52;52;2017-09-23;2017-09-30;2016-06-16 10:00:00.143868;2017-09-23
53;52;2018-05-26;2018-06-02;2016-06-16 10:00:00.143868;2018-05-26
54;52;2018-08-23;2018-08-30;2016-06-16 10:00:00.143868;2018-08-23
55;52;2020-03-11;2020-03-18;2016-06-16 10:00:00.143868;2020-03-11
56;19;2018-06-05;2018-06-12;2016-05-02 11:30:00.106617;2018-06-05
57;19;2019-02-22;2019-03-01;2016-05-02 11:30:00.106617;2019-02-22
58;19;2019-09-13;2019-09-20;2016-05-02 11:30:00.106617;2019-09-13
59;10;2018-02-15;2018-02-22;2015-10-20 12:39:00.873934;2018-02-15
60;10;2018-08-19;2018-08-26;2015-10-20 12:39:00.873934;2018-08-19
61;4;2017-04-11;2017-04-18;2016-05-03 14:40:00.126842;2017-04-11
62;4;2018-07-15;2018-07-22;2016-05-03 14:40:00.126842;2018-07-15
63;4;2018-12-24;2018-12-31;2016-05-03 14:40:00.126842;2018-12-24
64;7;2019-04-15;2019-04-22;2015-10-20 12:39:00.873934;2019-04-15
65;9;2018-12-14;2018-12-21;2016-05-01 09:40:00.139958;2018-12-14
66;12;2018-01-14;2018-01-21;2016-04-10 11:30:00.114054;2018-01-14
67;31;2020-02-15;2020-02-22;2019-10-10 00:00:00.000000;2020-02-15
68;40;2019-08-15;2019-08-22;2015-10-20 12:39:00.873934;2019-08-15
69;40;2019-12-15;2019-12-22;2015-10-20 12:39:00.873934;2019-12-15
70;49;2018-02-14;2018-02-21;2015-10-20 12:39:00.873934;2018-02-14
71;55;2019-10-15;2019-10-22;2015-10-20 12:39:00.873934;2019-10-15
72;60;2019-03-15;2019-03-22;2015-10-20 12:39:00.873934;2019-03-15
