Event ID;substation ID;Report date;Problem EN;Event description EN;Possible anomaly start;Possible anomaly end;Training start;Training end;efd_possible;Fault label;Monitoring potential
0;53;2020-03-23 15:19:00;Noise;Readjusted. New needle throttle valve installed. Pressure fluctuations are eliminated.;;2020-03-25 10:43:51.000;;;False;Incorrect setting of the differential pressure regulator;3.1
1;24;2020-03-18 11:11:00;no heat;Secondary side shut-off valve closed. The line has been put back into service.;;2020-03-20 04:48:52.000;2019-10-09 08:40:00.310497;2020-03-04 11:11:00;True;Shut-off valve closed;2.8
2;53;2020-03-16 10:00:00;Noise;Vented. Control line has been rattling. Needle throttle valve readjusted.;;2020-03-25 10:43:51.000;2019-11-15 20:11:09.000000;2020-03-02 10:00:00;True;Incorrect setting of the differential pressure regulator;3.1
3;45;2020-03-09 12:12:00;no heat;Tavel time of the Motorised control valve (primary side) readjusted.;;2020-03-09 19:39:53.000;2019-12-04 12:40:00.331599;2020-02-24 12:12:00;True;Motorised control valve (primary side): Incorrect setting of the actuator travel time;3.3
4;39;2020-02-28 10:38:00;Meter;Battery in heat meter replaced.;;2020-02-29 10:38:00.000;;;False;Failure of the thermal energy meter;3.2
5;8;2020-02-18 14:00:00;leakage;Flange in return line leaking.Gasket replaced.;;2020-02-19 16:55:43.000;2019-10-15 00:00:00.000000;2020-02-04 14:00:00;True;Leakage;1.75
6;35;2020-02-04 15:27:00;leakage;Corrosion. Gasket above the strainer replaced.;;2020-02-05 16:56:11.000;2019-10-10 00:00:00.000000;2020-01-21 15:27:00;True;Leakage;1.75
7;18;2020-02-04 08:33:00;leakage;Pressure gauge and screw connection sealed;;2020-02-05 08:33:00.000;;;False;Leakage;1.75
8;59;2020-01-24 14:46:00;no heat;Heating pump regulation adjusted;;2020-01-25 14:46:00.000;2019-11-27 12:00:00.356912;2020-01-10 14:46:00;True;Failure of the heating circuit pump;3.8
10;18;2020-01-21 10:53:00;leakage;Strainer was leaking. Gasket replaced.;;2020-02-05 08:33:00.000;2019-11-26 00:00:00.000000;2020-01-07 10:53:00;True;Leakage;1.75
11;61;2020-01-21 10:04:00;no heat;Pump failure. Pump replaced.;2020-01-06 17:00:00;2020-01-21 18:12:11.000;;;False;Failure of the heating circuit pump;3.8
12;43;2020-01-10 12:35:00;no heat;No secondary flow. Air in the piping system. Strainer and magnetic separator have been cleaned.;2020-01-08 12:00:00;2020-01-13 11:26:40.000;2019-11-20 14:20:00.264168;2019-12-27 12:35:00;True;Strainer (secondary side): Poor flow rate;3.6
13;15;2019-12-19 08:14:00;leakage;Strainer was leaking. Gasket replaced.;;2019-12-23 01:04:33.000;2019-10-09 12:00:00.317495;2019-11-01 00:00:00;True;Leakage;1.75
14;11;2019-12-06 12:59:00;leakage;Leak in screw connection on differential pressure regulator. Leak repaired.;;2019-12-09 22:35:58.000;;;False;Leakage;1.75
15;50;2019-12-01 08:03:24;no heat;Heating pump readjusted and buffer tank loaded.;;2019-12-04 12:33:39.000;;;False;Failure of the domestic hot water storage charging pump;3.7
17;50;2019-11-28 10:00:15;no heat;Pump was on dry running/malfunction. Air in the system. Pump acknowledged and next week temperature short circuit will be installed.;;2019-12-04 12:33:39.000;;;False;Failure of the domestic hot water storage charging pump;3.7
18;11;2019-11-26 09:57:00;no heat;Needle throttle valve readjusted.;2019-11-25 17:00:00;2019-11-26 19:05:18.000;2019-09-10 00:00:00.000000;2019-11-12 09:57:00;True;Incorrect setting of the differential pressure regulator;3.1
