split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,selected_action_threshold,best_iteration,selection_score
validation,expanded_lgbm_01,362,20.018670603691483,26.9634745021177,0.45296057609561524,0.6051728513271576,119,1.0,0.08403361344537816,0.9474731597842877,1.0,0.16806722689075632,0.9217175960654985,0.98,0.4117647058823529,0.8355437877933763,0.81,0.680672268907563,0.7836886081940785,0.8067226890756303,0.8067226890756303,0.8255062343492843,27.75,86,38,18,220,0.6935483870967742,0.8269230769230769,0.7543859649122807,0.8527131782945736,0.3425414364640884,split_time_based,27.75,56,2.231523231929719
validation,expanded_lgbm_02,362,21.70891084746225,27.878905805622058,0.415185184733996,0.5947025122027573,119,1.0,0.08403361344537816,0.8985637814656733,1.0,0.16806722689075632,0.861240787133332,0.98,0.4117647058823529,0.8288866610136534,0.8,0.6722689075630253,0.7553121381607821,0.7983193277310925,0.7983193277310925,0.8041817646473134,29.25,86,41,18,217,0.6771653543307087,0.8269230769230769,0.7445887445887446,0.8410852713178295,0.35082872928176795,split_time_based,29.25,31,2.1874263965597502
validation,expanded_lgbm_03,362,21.987851602664055,28.167825680767955,0.40300105186736723,0.5954038657251941,119,1.0,0.08403361344537816,1.0,1.0,0.16806722689075632,0.9176312150314556,0.98,0.4117647058823529,0.809101163530431,0.83,0.6974789915966386,0.7847801525260562,0.7563025210084033,0.7563025210084033,0.7849688032197861,23.25,90,53,14,205,0.6293706293706294,0.8653846153846154,0.7287449392712552,0.7945736434108527,0.39502762430939226,split_time_based,23.25,40,2.166028850068529
validation,expanded_lgbm_04,362,20.107721594078622,28.119979279097677,0.40502747676104045,0.5867410890968389,119,1.0,0.08403361344537816,0.9534810813023592,1.0,0.16806722689075632,0.9020787803714271,0.98,0.4117647058823529,0.8469114761141149,0.79,0.6638655462184874,0.7598026037557479,0.7647058823529411,0.7647058823529411,0.784735260074324,28.25,79,45,25,213,0.6370967741935484,0.7596153846153846,0.6929824561403508,0.8255813953488372,0.3425414364640884,split_time_based,28.25,67,2.1013579996295078
validation,expanded_lgbm_06,362,21.359331116667338,28.452676990757784,0.39086551877513476,0.5645160760219224,119,1.0,0.08403361344537816,0.9774735640255078,1.0,0.16806722689075632,0.9264703695948868,0.98,0.4117647058823529,0.8284878477388226,0.78,0.6554621848739496,0.7497165165771615,0.7478991596638656,0.7478991596638656,0.7699234672374743,38.25,63,19,41,239,0.7682926829268293,0.6057692307692307,0.6774193548387097,0.9263565891472868,0.2265193370165746,split_time_based,38.25,43,2.051589683063439
validation,expanded_lgbm_05,362,22.663884762428765,29.311874807695872,0.35352146239965776,0.5254096088211387,119,1.0,0.08403361344537816,0.9213230431924705,1.0,0.16806722689075632,0.9129311067897413,0.98,0.4117647058823529,0.7942890232340218,0.75,0.6302521008403361,0.7255158934451442,0.7226890756302521,0.7226890756302521,0.7416791877797148,19.0,74,48,30,210,0.6065573770491803,0.7115384615384616,0.654867256637168,0.813953488372093,0.3370165745856354,split_time_based,19.0,33,1.9649942335974613
validation,expanded_lgbm_03,249,13.43909495198117,21.96073775119593,0.5611602921641655,0.6813111642694737,53,1.0,0.18867924528301888,1.0,1.0,0.37735849056603776,0.9055803563999488,0.94,0.8867924528301887,0.9278464701006527,0.53,1.0,0.9741345525300596,0.8867924528301887,0.8867924528301887,0.899340321183732,47.0,47,1,6,195,0.9791666666666666,0.8867924528301887,0.9306930693069307,0.9948979591836735,0.1927710843373494,split_substation_based,47.0,202,2.7615804278978415
validation,expanded_lgbm_01,249,12.709895832351581,20.17623137060256,0.6295819298370364,0.6776087475180111,53,1.0,0.18867924528301888,0.9558424960378642,1.0,0.37735849056603776,0.8978587844234561,0.9,0.8490566037735849,0.9007316714287521,0.53,1.0,0.968922125394958,0.9056603773584906,0.9056603773584906,0.903781483922708,34.25,49,7,4,189,0.875,0.9245283018867925,0.8990825688073395,0.9642857142857143,0.2248995983935743,split_substation_based,34.25,322,2.7247463380978574
validation,expanded_lgbm_06,249,12.430910384972607,21.15589705595126,0.5927370001379462,0.6727803577725399,53,1.0,0.18867924528301888,1.0,1.0,0.37735849056603776,0.905946838251588,0.9,0.8490566037735849,0.9048253506868816,0.53,1.0,0.9715487801191137,0.8679245283018868,0.8679245283018868,0.8872190028040569,40.75,49,7,4,189,0.875,0.9245283018867925,0.8990825688073395,0.9642857142857143,0.2248995983935743,split_substation_based,40.75,188,2.710401953646885
validation,expanded_lgbm_04,249,11.815655840201769,19.682599883524166,0.6474854932952361,0.6855743681183082,53,1.0,0.18867924528301888,1.0,1.0,0.37735849056603776,0.905946838251588,0.84,0.7924528301886793,0.8735590801647429,0.53,1.0,0.9762219054306203,0.8301886792452831,0.8301886792452831,0.8671538348036424,33.25,52,11,1,185,0.8253968253968254,0.9811320754716981,0.8965517241379309,0.9438775510204082,0.25301204819277107,split_substation_based,33.25,153,2.698023088948942
