manufacturer,substation_id,window_start,window_end,configuration_type,label,fault_label,fault_event_id,anomaly_ensemble_score,anomaly_policy_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,anomaly_criticality,anomaly_event_label,anomaly_evidence_event_label,anomaly_evidence_source,risk_probability,risk_score,risk_level_calibrated,predicted_lead_time_bucket,leadtime_urgency_score,current_best_priority_score,current_best_priority_level,priority_score,priority_level,shadow_priority_score,priority_policy_agreement,operational_label,primary_state,review_required,review_reasons,trust_level,first_crossing_time,stable_crossing_time,stable_crossing_lead_hours,why_reason,recommended_action,split_time_based,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_fault_prediction,m1_specialist_task_prediction,m1_specialist_activity_prediction,m1_specialist_pre_event_prediction,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_leadtime_urgency,m1_specialist_priority_score,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons,m1_hybrid_priority_score,m1_specialist_priority_level,m1_specialist_priority_high_label,m1_hybrid_priority_level,m1_hybrid_priority_high_label,m1_priority_agreement,m1_priority_review_required,m1_why_reason,m1_recommended_action,current_best_priority_high_label,priority_source,priority_high_label
manufacturer 1,31,2020-01-11 00:00:00,2020-01-11 06:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,333.672004941,1.06677350143,0.96009615129,628.718414622,2,2,0,0,no_active_anomaly,0.98917996338,1,critical,1-3d,0.667024757799,100,urgent,89.733225688,urgent,84.010742734,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.723; pre_event=0.800; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-04 06:00:00,2020-01-11 06:00:00,1008,1008,1,0.723478676859,0.140151358338,0.0645335555081,0.799908570447,1,0,0,1,fault,,leakage_water_loss,0.444043,0.667024757799,70.6663591086,False,,89.733225688,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.723; pre_event=0.800; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,29,2020-03-06 12:00:00,2020-03-06 18:00:00,SH + DHW with sub-circuits,pre_fault,Failure of the domestic hot water storage charging pump,15,271.098209004,1.1357075597,1.02213680373,510.599631521,2,1,0,0,no_active_anomaly,0.978119716645,1,critical,0-24h,0.730612723479,100,urgent,79.8892299482,high,85.9183817044,same_tier,predictive_fault_risk,predictive_fault_risk,True,risk_high_but_anomaly_not_confirmed|m1_specialist_gate_near_threshold|m1_priority_disagreement,medium,2020-03-06 18:00:00,2020-03-06 18:00:00,12,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.477; pre_event=0.201; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,holdout,m1_runtime_model,2020-02-28 18:00:00,2020-03-06 18:00:00,1008,1008,1,0.477056149176,0.0699179210807,0.0444629324163,0.2014841871,0,0,0,0,normal,,pump_failure,0.636043,0.730612723479,42.5406569949,True,m1_specialist_gate_near_threshold,79.8892299482,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.477; pre_event=0.201; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-11 06:00:00,2020-01-11 12:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,242.470631121,1.06721686765,0.960495180886,456.639996955,2,3,0,0,no_active_anomaly,0.993160785835,1,critical,1-3d,0.668365661004,100,urgent,91.053221836,urgent,84.0509698301,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.743; pre_event=0.868; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-04 12:00:00,2020-01-11 12:00:00,1008,1008,1,0.742580483123,0.259132959123,0.147469217692,0.867748397169,1,0,0,1,fault,,leakage_water_loss,0.444043,0.668365661004,74.4377766744,False,,91.053221836,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.743; pre_event=0.868; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-13 06:00:00,2020-01-13 12:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,163.945086635,1.03331511747,0.929983605726,308.505649698,2,7,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.992467341054,1,critical,0-24h,0.997115837823,100,urgent,80.9816254533,high,96.1634751347,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|m1_priority_disagreement,medium_high,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.448; pre_event=0.165; fault_group=leakage_water_loss,baseline review: current best is high but M1 specialist is not aligned.,holdout,m1_runtime_model,2020-01-06 12:00:00,2020-01-13 12:00:00,1008,1008,1,0.447696537216,0.317846234024,0.284657480452,0.165230306815,0,0,0,0,normal,,leakage_water_loss,0.444043,0.997115837823,45.6617870095,False,,80.9816254533,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.448; pre_event=0.165; fault_group=leakage_water_loss,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-12 00:00:00,2020-01-12 06:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,161.613830268,1.07775282599,0.969977543388,304.071586457,2,4,0,0,no_active_anomaly,0.993046263827,1,critical,1-3d,0.683142009393,100,urgent,85.7944770768,urgent,84.4942602818,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.611; pre_event=0.587; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-05 06:00:00,2020-01-12 06:00:00,1008,1008,1,0.61092993446,0.268481737454,0.172276917772,0.586507024838,1,0,0,0,fault,,leakage_water_loss,0.444043,0.683142009393,59.4127916479,False,,85.7944770768,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.611; pre_event=0.587; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-13 00:00:00,2020-01-13 06:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,157.295770994,1.04391104517,0.939519940651,295.951314382,2,6,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.992565231474,1,critical,0-24h,0.998030720208,100,urgent,85.6497591138,urgent,96.1909216062,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|m1_specialist_gate_near_threshold|m1_priority_disagreement,medium_high,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.526; pre_event=0.407; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-06 06:00:00,2020-01-13 06:00:00,1008,1008,1,0.525942285421,0.0818228570254,0.0754285120173,0.407231729955,1,0,0,0,fault,,leakage_water_loss,0.444043,0.998030720208,58.9993117538,True,m1_specialist_gate_near_threshold,85.6497591138,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.526; pre_event=0.407; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-11 18:00:00,2020-01-12 00:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,111.46753735,1.03829854874,0.934468693864,209.487428422,2,3,0,0,no_active_anomaly,0.989015656654,1,critical,1-3d,0.670256401687,100,urgent,79.4734529164,high,84.1076920506,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.287; pre_event=0.265; fault_group=leakage_water_loss,baseline review: current best is high but M1 specialist is not aligned.,holdout,m1_runtime_model,2020-01-05 00:00:00,2020-01-12 00:00:00,1008,1008,1,0.28715018037,0.152941049277,0.142634226085,0.265170646684,0,0,0,0,normal,,leakage_water_loss,0.444043,0.670256401687,41.3527226182,False,,79.4734529164,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.287; pre_event=0.265; fault_group=leakage_water_loss,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-12 06:00:00,2020-01-12 12:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,98.9500667429,1.07177619616,0.964598576542,185.8428404,2,5,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.992645809131,1,critical,1-3d,0.673020329946,100,urgent,87.187991563,urgent,86.4406098984,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|m1_priority_disagreement,medium_high,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.602; pre_event=0.664; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-05 12:00:00,2020-01-12 12:00:00,1008,1008,1,0.602252481962,0.291231317144,0.205671918277,0.664418303822,1,0,0,1,fault,,leakage_water_loss,0.444043,0.673020329946,63.3942616086,False,,87.187991563,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.602; pre_event=0.664; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,31,2020-01-12 18:00:00,2020-01-13 00:00:00,SH + DHW,pre_fault,"Heat exchanger: Leakage, external",45,97.6550425932,1.05342643766,0.948083793891,183.414043793,2,5,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.986767589365,1,critical,0-24h,0.99201016665,100,urgent,93.4522788805,urgent,96.0103049995,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|m1_specialist_gate_near_threshold,medium_high,2020-01-11 00:00:00,2020-01-11 00:00:00,60,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.500; pre_event=0.816; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-01-06 00:00:00,2020-01-13 00:00:00,1008,1008,1,0.500221891489,0.089586389789,0.0635793056681,0.815841370424,1,0,0,1,fault,,leakage_water_loss,0.444043,0.99201016665,81.2922253728,True,m1_specialist_gate_near_threshold,93.4522788805,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.500; pre_event=0.816; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,30,2020-03-15 06:00:00,2020-03-15 12:00:00,SH + DHW,pre_fault,Leakage,10,38.6772948836,1.2829583928,1.15466255352,71.9520820442,2,11,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.949482101407,1,critical,0-24h,0.973191614736,100,urgent,96.7997265569,urgent,95.4457484421,same_tier,predictive_fault_risk,predictive_fault_risk,False,,high,2020-03-13 00:00:00,2020-03-13 00:00:00,84,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.886; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-03-08 12:00:00,2020-03-15 12:00:00,1008,1008,1,0.885575000868,0.0793903584505,0.023461349159,0.99999942089,1,0,0,1,fault,,leakage_water_loss,0.444043,0.973191614736,90.856361591,False,,96.7997265569,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.886; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
