sample_id,pool_role,candidate_type,manufacturer,label,label_strength,y,source_event_id,substation_id,window_start,window_end,window_days,window_policy,sample_count,expected_sample_count,coverage_rate,source_type,review_tag,fault_label,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean
normal_0002,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,2.0,9,2019-01-02 00:00:00,2019-01-09 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,2.0175,0.4477777777777785,3.46,-0.8015277777777712,0.0771238425925986,-5.255786639781881,-0.037037037037038,0.1141608796296305,2.640000000000001,-0.2027314814814786,0.1281330535576179,-0.0799999999999983,-0.169212962962959
normal_0004,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,4.0,15,2019-03-01 00:00:00,2019-03-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,5.370833333333333,-3.565277777777778,-3.5,-1.974305555555567,-0.7550925925925824,-24.23171442443584,-0.6346809921096863,-0.0968434710904154,-7.133333333333333,-0.6008101851851819,0.1812879821704132,0.75,-1.166087962962962
normal_0008,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,8.0,6,2020-06-02 00:00:00,2020-06-09 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,hard_normal_metadata,,-0.1728935185185207,-3.078009259259261,-0.0699999999999967,0.6668749999999939,1.9352384259259277,2.140296229759997,1.9554976851851824,-0.020259259259259,0.120000000000001,1.53505073302469,-1.8842949141968892,-10.330000000000002,6.232616705246919
normal_0012,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,12.0,19,2017-09-30 00:00:00,2017-10-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,5.41875,-5.7416666666666725,-4.800000000000001,-0.28680555555556,0.1899305555555557,-276.4033368406342,-0.2633622685185273,0.4532928240740732,13.714999999999996,0.4145833333333399,-2.9013175352264726,-0.0500000000000042,0.3733796296296319
normal_0014,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,14.0,26,2019-12-08 00:00:00,2019-12-15 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,-0.063194444444445,-1.4286111111111115,2.79,2.1424999999999983,0.4598495370370372,-14.063320684380043,1.3356481481481524,-0.8757986111111116,-12.829999999999998,0.5037731481481629,0.3459541971372522,-22.25,0.7028530092592646
normal_0016,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,16.0,17,2017-10-15 00:00:00,2017-10-22 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,4.05347222222222,-0.7749999999999986,5.500000000000002,-0.5326388888889042,-0.8207175925926009,172.4168465467268,-0.0873796052631661,0.2512476959920755,0.9628000000000156,-1.6495370370370352,0.4167244519767061,7.599999999999994,-2.5107638888888744
normal_0017,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,17.0,2,2018-02-27 00:00:00,2018-03-06 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,2.561805555555556,-1.3958333333333348,-3.65,0.2930555555555614,-0.1609953703703794,11.355759945591233,-0.362268518518519,0.2012731481481482,-2.1499999999999986,1.19774305555557,-0.28569988221986,1.0999999999999943,1.1585648148148169
normal_0018,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,18.0,16,2018-11-30 00:00:00,2018-12-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,1.477777777777778,-0.6458333333333335,-6.8,-4.06666666666667,-0.3286458333333328,-1.2407789848725344,-0.6082870370370301,0.2796412037037038,0.4566666666666705,-0.054282407407399,-0.8456715103542944,0.1499999999999914,0.0079861111111085
normal_0019,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,19.0,8,2018-02-01 00:00:00,2018-02-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,review_required_normal,,-1.5215277777777771,-0.4472222222222219,3.25,1.4444444444444429,1.7191550925925867,15.01996790485616,1.554986105328389,-0.2483123057408716,11.366666666666667,-2.130497685185184,-0.64686976469992,2.8500000000000014,-2.207291666666663
normal_0021,fixed_eval,fixed_eval,manufacturer_1,normal,normal,0,21.0,1,2019-12-01 00:00:00,2019-12-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,normal_event,,,1.677671296296296,-2.1318055555555557,-2.0625,-1.4591874999999987,6.143344411375658,-86.08823032234022,3.7090374228395007,2.4343069885361555,1.0499999999999972,9.71842792383157,-2.936812101005944,-1.3475000000000037,9.581254147376557
